,Draught Rate,ASHRAE Standard,ISO 7730 Standard,Date/Time
1955,38.17912835881898,X,X,3/14/2025 9:47
1956,30.658433058623075,X,X,3/14/2025 9:47
1973,22.062959113752395,X,Cat III,3/14/2025 9:47
1974,32.199949184766766,X,X,3/14/2025 9:47
1975,46.12324164584534,X,X,3/14/2025 9:47
1976,38.40868336068451,X,X,3/14/2025 9:47
1977,31.591747470025364,X,X,3/14/2025 9:47
1996,35.75085181848374,X,X,3/14/2025 9:48
1997,33.572370387419205,X,X,3/14/2025 9:48
1998,29.302308163258648,X,Cat III,3/14/2025 9:48
1999,32.80346281077409,X,X,3/14/2025 9:48
2000,32.53652473801562,X,X,3/14/2025 9:48
2001,24.150327658656508,X,Cat III,3/14/2025 9:48
2017,31.113313832489162,X,X,3/14/2025 9:48
2018,27.02785981122508,X,Cat III,3/14/2025 9:48
2019,22.949959669401768,X,Cat III,3/14/2025 9:48
2020,26.145201769268,X,Cat III,3/14/2025 9:48
2021,23.951136327799926,X,Cat III,3/14/2025 9:48
2022,35.80564142828013,X,X,3/14/2025 9:48
2039,34.437093559918836,X,X,3/14/2025 9:48
2040,24.897436379269397,X,Cat III,3/14/2025 9:49
2042,38.53667090769152,X,X,3/14/2025 9:49
2043,43.90893957104913,X,X,3/14/2025 9:49
2044,39.09427717155346,X,X,3/14/2025 9:49
2045,22.233871017458856,X,Cat III,3/14/2025 9:49
2062,24.706739747511765,X,Cat III,3/14/2025 9:49
2063,35.072170191910665,X,X,3/14/2025 9:49
2064,35.393272156188544,X,X,3/14/2025 9:49
2065,38.12781504414405,X,X,3/14/2025 9:49
2066,35.25373161438569,X,X,3/14/2025 9:49
2067,28.44089092488267,X,Cat III,3/14/2025 9:49
2084,22.85869211753713,X,Cat III,3/14/2025 9:49
2085,38.25344277064858,X,X,3/14/2025 9:49
2086,41.611679177222726,X,X,3/14/2025 9:49
2087,37.28874938624006,X,X,3/14/2025 9:49
2088,36.274866652594014,X,X,3/14/2025 9:49
2089,41.30356094206895,X,X,3/14/2025 9:49
2090,24.090089216510677,X,Cat III,3/14/2025 9:49
2091,22.837135721221788,X,Cat III,3/14/2025 9:49
2106,23.33026178841331,X,Cat III,3/14/2025 9:50
2107,22.20423561872603,X,Cat III,3/14/2025 9:50
2108,25.627587670316345,X,Cat III,3/14/2025 9:50
2109,32.041924020844526,X,X,3/14/2025 9:50
2110,39.001023358719536,X,X,3/14/2025 9:50
2111,37.18037978153979,X,X,3/14/2025 9:50
2112,28.086872565855415,X,Cat III,3/14/2025 9:50
2113,20.530935352079734,X,Cat III,3/14/2025 9:50
2129,27.106575549905962,X,Cat III,3/14/2025 9:50
2130,37.453548101607744,X,X,3/14/2025 9:50
2131,36.75119326694706,X,X,3/14/2025 9:50
2132,34.98846756707982,X,X,3/14/2025 9:50
2133,36.43878173479431,X,X,3/14/2025 9:50
2134,42.918657055797425,X,X,3/14/2025 9:50
2135,22.466896932781086,X,Cat III,3/14/2025 9:50
2152,32.7168650833061,X,X,3/14/2025 9:50
2153,36.89391750221129,X,X,3/14/2025 9:50
2154,39.701530576960174,X,X,3/14/2025 9:50
2155,27.8286236865796,X,Cat III,3/14/2025 9:50
2156,27.441904118305704,X,Cat III,3/14/2025 9:50
2157,33.34007013123323,X,X,3/14/2025 9:50
2173,20.670218923358014,X,Cat III,3/14/2025 9:51
2174,39.99873745578772,X,X,3/14/2025 9:51
2175,33.52916536800174,X,X,3/14/2025 9:51
2176,34.59281315540667,X,X,3/14/2025 9:51
2177,25.6168509734236,X,Cat III,3/14/2025 9:51
2178,28.036784017143585,X,Cat III,3/14/2025 9:51
2197,39.198823706889776,X,X,3/14/2025 9:51
2198,36.60634844792728,X,X,3/14/2025 9:51
2199,41.79890890519213,X,X,3/14/2025 9:51
2200,40.22878001734443,X,X,3/14/2025 9:51
2201,41.727826231962354,X,X,3/14/2025 9:51
2220,23.9426802621405,X,Cat III,3/14/2025 9:52
2221,22.1250505462719,X,Cat III,3/14/2025 9:52
2223,25.4065129397201,X,Cat III,3/14/2025 9:52
2224,21.22525353909844,X,Cat III,3/14/2025 9:52
2242,35.80648037574772,X,X,3/14/2025 9:52
2243,30.418565495357903,X,X,3/14/2025 9:52
2244,23.892873237761755,X,Cat III,3/14/2025 9:52
2245,39.799443307728744,X,X,3/14/2025 9:52
2246,24.803895320363342,X,Cat III,3/14/2025 9:52
2262,30.289443814611065,X,X,3/14/2025 9:52
2263,26.791749041482664,X,Cat III,3/14/2025 9:52
2264,28.419855235977426,X,Cat III,3/14/2025 9:52
2265,32.75051294189923,X,X,3/14/2025 9:52
2266,29.05035162222913,X,Cat III,3/14/2025 9:52
2267,42.830803168203545,X,X,3/14/2025 9:52
2268,26.74521129874849,X,Cat III,3/14/2025 9:52
2285,32.7737836053346,X,X,3/14/2025 9:53
2286,35.844875604503386,X,X,3/14/2025 9:53
2287,35.665953964526146,X,X,3/14/2025 9:53
2288,31.43687936740405,X,X,3/14/2025 9:53
2289,25.10036872574399,X,Cat III,3/14/2025 9:53
2290,22.24570127596833,X,Cat III,3/14/2025 9:53
2306,24.63581170289961,X,Cat III,3/14/2025 9:53
2308,23.30485594549029,X,Cat III,3/14/2025 9:53
2309,23.789553481513753,X,Cat III,3/14/2025 9:53
2311,25.892824390896152,X,Cat III,3/14/2025 9:53
2312,21.22129837858625,X,Cat III,3/14/2025 9:53
2313,20.784593933188148,X,Cat III,3/14/2025 9:53
6486,28.82991219138738,X,Cat III,3/14/2025 11:03
6487,34.454287533008895,X,X,3/14/2025 11:03
6488,37.36058764745037,X,X,3/14/2025 11:03
6490,32.83059764105046,X,X,3/14/2025 11:03
